Week_date_time,Week_date_time_woreda,RegionName,ZoneName,WoredaName,Total Malaria Confirmed and Clinical,TMalaria_OutP_Cases,TMalaria_InP_Cases,TMalaria_InP_Deaths,TMSuspected Fever Examined,PosMalaria_RDT_or_Microscopy_PF_OutP_Cases,PosMalaria_RDT_or_Microscopy_PV_OutP_Cases,Meningits total Cases,Meningitis_InP_Cases,Dysentery_total Cases,Dysentery_OutP_Cases,Typhoid fever Total cases,Typhoid fever_OutP_Cases,Typhoid fever_InP_Cases,Relapsing fever_total Cases,Epidemic Typhus Total Cases,Epidemic Typhus_OutP_Cases,Epidemic Typhus_InP_Cases,Epidemic Typhus_InP_Deaths,Malnutrition_total Cases,Scabies_OutP_Cases,Avian_Human_Influenza_Cases,Avian_Human_Influenza_Deaths,Cholera/AWD_Cases,Cholera/AWD_Deaths,Dracunculiasis/Guinea worm_Cases,Dracunculiasis/Guinea worm_Deaths,Measles_Cases,Neonatal Tetanus_Cases,Neonatal Tetanus_Deaths,Pandemic Influenza_Cases,Pandemic Influenza_Deaths,Rabies_Cases,Rabies_Deaths,SARS_Cases,SARS_Deaths,Maternal_Death,Other 1_sc,Other 1_Cases,Other 1_Deaths,Other 2_Name,Other 2_Cases,Other 2_Deaths,Other 3_Name,Other 3_Cases,Other 3_Deaths,No-of-Gov_HPs-expected-by-RHB,No-of-Gov_HCs-expected-by-RHB,No-of-Gov_Hosps-expected-by-RHB,No-of-NGOHF-expected-by-RHB,No-of-OtherHFs-expected-by-RHB,No-of-Gov_HPs-Reported,No-of-Gov_HCs-Reported,No-of-Gov_Hosps-Reported,No-of-NGOHFs-Reported,No-of-OthersHF-Reported,All-Total-sites-Reported,All-Total-sites-Expected-by-RHB,Total-Gov-sites-Reported
2017-01-09,2017-01-09_Guji_Uraga,Oromia,Guji,Uraga,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3,3.0,98,98.0,0.0,0,22,22.0,0.0,0.0,26,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,30.0,5.0,0.0,1.0,0.0,28.0,5.0,0.0,1.0,0.0,34,36,33
2017-01-09,2017-01-09_East Shewa_Gimbichu,Oromia,East Shewa,Gimbichu,1,1.0,0.0,0.0,2.0,0.0,1.0,0,0.0,10,10.0,51,51.0,0.0,0,34,34.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,33.0,4.0,0.0,0.0,0.0,33.0,4.0,0.0,0.0,0.0,37,37,37
2017-01-16,2017-01-16_Finfine Zuria_Sebeta Awas,Oromia,Finfine Zuria,Sebeta Awas,9,9.0,0.0,0.0,42.0,5.0,4.0,0,0.0,7,7.0,5,5.0,0.0,0,0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,38.0,6.0,0.0,0.0,2.0,38.0,6.0,0.0,0.0,1.0,45,46,44
2017-01-16,2017-01-16_Guji_Uraga,Oromia,Guji,Uraga,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,1.0,60,60.0,0.0,0,0,0.0,0.0,0.0,17,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,30.0,5.0,0.0,1.0,0.0,27.0,5.0,0.0,1.0,0.0,33,36,32
2017-01-16,2017-01-16_East Hararge_Chinakesen,Oromia,East Hararge,Chinakesen,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4,4.0,0,0.0,0.0,0,0,0.0,0.0,0.0,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,48.0,8.0,0.0,0.0,4.0,48.0,8.0,0.0,0.0,2.0,58,60,56
2017-01-16,2017-01-16_Buno Bedele_Meko,Oromia,Buno Bedele,Meko,3,3.0,0.0,0.0,21.0,1.0,2.0,0,0.0,4,4.0,0,0.0,0.0,0,0,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,12.0,1.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,11,13,11
2017-01-16,2017-01-16_West Shewa_Ambo Hospital,Oromia,West Shewa,Ambo Hospital,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1
2017-01-16,2017-01-16_Qeleme Wellega_Hawa Gelan,Oromia,Qeleme Wellega,Hawa Gelan,4,4.0,0.0,0.0,25.0,4.0,0.0,0,0.0,3,3.0,27,27.0,0.0,0,34,34.0,0.0,0.0,6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,30.0,6.0,0.0,0.0,0.0,30.0,6.0,0.0,0.0,0.0,36,36,36
2017-01-16,2017-01-16_East Hararge_Gursum,Oromia,East Hararge,Gursum,0,0.0,0.0,0.0,27.0,0.0,0.0,0,0.0,15,15.0,5,5.0,0.0,0,0,0.0,0.0,0.0,18,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,42.0,7.0,0.0,0.0,3.0,39.0,7.0,0.0,0.0,2.0,48,52,46
2017-01-16,2017-01-16_Borena_Yabelo Rural,Oromia,Borena,Yabelo Rural,0,0.0,0.0,0.0,6.0,0.0,0.0,0,0.0,18,18.0,2,2.0,0.0,0,0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,10.0,3.0,,1.0,3.0,10.0,3.0,,,,13,17,13
